"subject" "activity" "measure" "mean"
1 "SITTING" "fBodyBodyAccJerkMag.mean.." -0.513934623404255
1 "SITTING" "fBodyBodyAccJerkMag.meanFreq.." 0.154767420948936
1 "SITTING" "fBodyBodyAccJerkMag.std.." -0.549514123595745
1 "SITTING" "fBodyBodyGyroJerkMag.mean.." -0.734900340305532
1 "SITTING" "fBodyBodyGyroJerkMag.meanFreq.." 0.224029248180851
1 "SITTING" "fBodyBodyGyroJerkMag.std.." -0.770233641276596
1 "SITTING" "fBodyBodyGyroMag.mean.." -0.659063085659574
1 "SITTING" "fBodyBodyGyroMag.meanFreq.." 0.0127529248168085
1 "SITTING" "fBodyBodyGyroMag.std.." -0.680986889914894
1 "SITTING" "fBodyGyro.mean...X" -0.651523835
1 "SITTING" "fBodyGyro.mean...Y" -0.621554793574468
1 "SITTING" "fBodyGyro.mean...Z" -0.526997439148936
1 "SITTING" "fBodyGyro.meanFreq...X" -0.174351060621277
1 "SITTING" "fBodyGyro.meanFreq...Y" -0.18836584983617
1 "SITTING" "fBodyGyro.meanFreq...Z" -0.102724332925532
1 "SITTING" "fBodyGyro.std...X" -0.696663800297872
1 "SITTING" "fBodyGyro.std...Y" -0.583477229191489
1 "SITTING" "fBodyGyro.std...Z" -0.53792492487234
1 "SITTING" "tBodyAcc.mean...X" 0.276417868510638
1 "SITTING" "tBodyAcc.mean...Y" -0.0245985319906383
1 "SITTING" "tBodyAcc.mean...Z" -0.111163239897872
1 "SITTING" "tBodyAcc.std...X" -0.507090910425532
1 "SITTING" "tBodyAcc.std...Y" -0.399805284331915
1 "SITTING" "tBodyAcc.std...Z" -0.363968082404255
1 "SITTING" "tBodyAccJerk.mean...X" 0.0658563669
1 "SITTING" "tBodyAccJerk.mean...Y" 0.0131803458617021
1 "SITTING" "tBodyAccJerk.mean...Z" 0.0513879755808511
1 "SITTING" "tBodyAccJerk.std...X" -0.544537923425532
1 "SITTING" "tBodyAccJerk.std...Y" -0.518074402446808
1 "SITTING" "tBodyAccJerk.std...Z" -0.636629058510638
1 "SITTING" "tBodyAccJerkMag.mean.." -0.535093193085106
1 "SITTING" "tBodyAccJerkMag.std.." -0.527459829085106
1 "SITTING" "tBodyAccMag.mean.." -0.40989389087234
1 "SITTING" "tBodyAccMag.std.." -0.478191117914894
1 "SITTING" "tBodyGyro.mean...X" 0.0312429384846808
1 "SITTING" "tBodyGyro.mean...Y" -0.0812774917297872
1 "SITTING" "tBodyGyro.mean...Z" 0.0325367139787234
1 "SITTING" "tBodyGyro.std...X" -0.683996116489362
1 "SITTING" "tBodyGyro.std...Y" -0.595310465212766
1 "SITTING" "tBodyGyro.std...Z" -0.498843982978723
1 "SITTING" "tBodyGyroJerk.mean...X" -0.113836681887234
1 "SITTING" "tBodyGyroJerk.mean...Y" -0.0361542917255319
1 "SITTING" "tBodyGyroJerk.mean...Z" -0.0734631970978723
1 "SITTING" "tBodyGyroJerk.std...X" -0.739127329148936
1 "SITTING" "tBodyGyroJerk.std...Y" -0.724699058361702
1 "SITTING" "tBodyGyroJerk.std...Z" -0.656485265170213
1 "SITTING" "tBodyGyroJerkMag.mean.." -0.705533358212766
1 "SITTING" "tBodyGyroJerkMag.std.." -0.741465590425532
1 "SITTING" "tBodyGyroMag.mean.." -0.509933011680851
1 "SITTING" "tBodyGyroMag.std.." -0.632949403680851
1 "SITTING" "tGravityAcc.mean...X" 0.854724537659574
1 "SITTING" "tGravityAcc.mean...Y" -0.0975098408297872
1 "SITTING" "tGravityAcc.mean...Z" -0.167370793425532
1 "SITTING" "tGravityAcc.std...X" -0.974086274680851
1 "SITTING" "tGravityAcc.std...Y" -0.967005242340426
1 "SITTING" "tGravityAcc.std...Z" -0.944305497659574
1 "SITTING" "tGravityAccMag.mean.." -0.40989389087234
1 "SITTING" "tGravityAccMag.std.." -0.478191117914894
1 "STANDING" "angle.tBodyAccJerkMean..gravityMean." 0.0424439449056604
1 "STANDING" "angle.tBodyAccMean.gravity." 0.0345049254415094
1 "STANDING" "angle.tBodyGyroJerkMean.gravityMean." 0.0758366266679245
1 "STANDING" "angle.tBodyGyroMean.gravityMean." 0.0867669935849057
1 "STANDING" "angle.X.gravityMean." -0.679552783962264
1 "STANDING" "angle.Y.gravityMean." 0.104616146018868
1 "STANDING" "angle.Z.gravityMean." -0.0442696370754717
1 "STANDING" "fBodyAcc.mean...X" -0.59103892590566
1 "STANDING" "fBodyAcc.mean...Y" -0.501535324120755
1 "STANDING" "fBodyAcc.mean...Z" -0.535883025433962
1 "STANDING" "fBodyAcc.meanFreq...X" -0.267632481737358
1 "STANDING" "fBodyAcc.meanFreq...Y" -0.0741837388528302
1 "STANDING" "fBodyAcc.meanFreq...Z" -0.050248160379434
1 "STANDING" "fBodyAcc.std...X" -0.580049639716981
1 "STANDING" "fBodyAcc.std...Y" -0.464433457849057
1 "STANDING" "fBodyAcc.std...Z" -0.479377979058491
1 "STANDING" "fBodyAccJemeanrk.energy...Y" -0.860955561698113
1 "STANDING" "fBodyAccJerk.mean...X" -0.644298787320755
1 "STANDING" "fBodyAccJerk.mean...Y" -0.632370581943396
1 "STANDING" "fBodyAccJerk.mean...Z" -0.662184571207547
1 "STANDING" "fBodyAccJerk.meanFreq...X" -0.0995345420377358
1 "STANDING" "fBodyAccJerk.meanFreq...Y" -0.284141855320755
1 "STANDING" "fBodyAccJerk.meanFreq...Z" -0.252664384792453
1 "STANDING" "fBodyAccJerk.std...X" -0.650916451679245
1 "STANDING" "fBodyAccJerk.std...Y" -0.632061232018868
1 "STANDING" "fBodyAccJerk.std...Z" -0.718805306773585
1 "STANDING" "fBodyAccMag.mean.." -0.504533866113207
1 "STANDING" "fBodyAccMag.meanFreq.." 0.0101626320566038
1 "STANDING" "fBodyAccMag.std.." -0.58949683990566
1 "STANDING" "fBodyBodyAccJerkMag.mean.." -0.593235668490566
1 "STANDING" "fBodyBodyAccJerkMag.meanFreq.." 0.155991160326415
1 "STANDING" "fBodyBodyAccJerkMag.std.." -0.60945090245283
1 "STANDING" "fBodyBodyGyroJerkMag.mean.." -0.683549433981132
1 "STANDING" "fBodyBodyGyroJerkMag.meanFreq.." 0.118329897754717
1 "STANDING" "fBodyBodyGyroJerkMag.std.." -0.697203070283019
1 "STANDING" "fBodyBodyGyroMag.mean.." -0.578145796849057
1 "STANDING" "fBodyBodyGyroMag.meanFreq.." -0.0799807243396226
1 "STANDING" "fBodyBodyGyroMag.std.." -0.618056554792453
1 "STANDING" "fBodyGyro.mean...X" -0.631887468698113
1 "STANDING" "fBodyGyro.mean...Y" -0.582778105113208
1 "STANDING" "fBodyGyro.mean...Z" -0.62852518445283
1 "STANDING" "fBodyGyro.meanFreq...X" -0.146573913679245
1 "STANDING" "fBodyGyro.meanFreq...Y" -0.277750923807547
1 "STANDING" "fBodyGyro.meanFreq...Z" -0.176417628501887
1 "STANDING" "fBodyGyro.std...X" -0.699379066037736
1 "STANDING" "fBodyGyro.std...Y" -0.550494516792453
1 "STANDING" "fBodyGyro.std...Z" -0.664510290415094
1 "STANDING" "tBodyAcc.mean...X" 0.272635221584906
1 "STANDING" "tBodyAcc.mean...Y" -0.00853501574584906
1 "STANDING" "tBodyAcc.mean...Z" -0.11210579945283
1 "STANDING" "tBodyAcc.std...X" -0.581089170735849
1 "STANDING" "tBodyAcc.std...Y" -0.452430749620755
1 "STANDING" "tBodyAcc.std...Z" -0.46889369135283
1 "STANDING" "tBodyAccJerk.mean...X" 0.0905599133679245
1 "STANDING" "tBodyAccJerk.mean...Y" -0.00398616036698113
1 "STANDING" "tBodyAccJerk.mean...Z" 0.0171307456628302
1 "STANDING" "tBodyAccJerk.std...X" -0.631095077113208
1 "STANDING" "tBodyAccJerk.std...Y" -0.619368542867925
1 "STANDING" "tBodyAccJerk.std...Z" -0.690827010739623
1 "STANDING" "tBodyAccJerkMag.mean.." -0.626001804773585
1 "STANDING" "tBodyAccJerkMag.std.." -0.598683821320755
1 "STANDING" "tBodyAccMag.mean.." -0.478641572396226
1 "STANDING" "tBodyAccMag.std.." -0.507572643396226
1 "STANDING" "tBodyGyro.mean...X" -0.0358936818773585
1 "STANDING" "tBodyGyro.mean...Y" -0.0691026586792453
1 "STANDING" "tBodyGyro.mean...Z" 0.0701372980113208
1 "STANDING" "tBodyGyro.std...X" -0.681192696226415
1 "STANDING" "tBodyGyro.std...Y" -0.557420029245283
1 "STANDING" "tBodyGyro.std...Z" -0.629208350924528
1 "STANDING" "tBodyGyroJerk.mean...X" -0.11222562604717
1 "STANDING" "tBodyGyroJerk.mean...Y" -0.0245950119433962
1 "STANDING" "tBodyGyroJerk.mean...Z" -0.056796705509434
1 "STANDING" "tBodyGyroJerk.std...X" -0.703279344339623
1 "STANDING" "tBodyGyroJerk.std...Y" -0.680131891660377
1 "STANDING" "tBodyGyroJerk.std...Z" -0.75289074509434
1 "STANDING" "tBodyGyroJerkMag.mean.." -0.688267418264151
1 "STANDING" "tBodyGyroJerkMag.std.." -0.678737477509434
1 "STANDING" "tBodyGyroMag.mean.." -0.502910528660377
1 "STANDING" "tBodyGyroMag.std.." -0.551348475433962
1 "STANDING" "tGravityAcc.mean...X" 0.837511210566038
1 "STANDING" "tGravityAcc.mean...Y" -0.0393006634716981
1 "STANDING" "tGravityAcc.mean...Z" 0.0868311703245283
1 "STANDING" "tGravityAcc.std...X" -0.946718927924528
1 "STANDING" "tGravityAcc.std...Y" -0.932341249056604
1 "STANDING" "tGravityAcc.std...Z" -0.888165735283019
1 "STANDING" "tGravityAccMag.mean.." -0.478641572396226
1 "STANDING" "tGravityAccMag.std.." -0.507572643396226
1 "WALKING" "angle.tBodyAccJerkMean..gravityMean." 0.0205060595505263
1 "WALKING" "angle.tBodyAccMean.gravity." 0.0340350006031579
1 "WALKING" "angle.tBodyGyroJerkMean.gravityMean." 0.00860714540105263
1 "WALKING" "angle.tBodyGyroMean.gravityMean." 0.106540286642105
1 "WALKING" "angle.X.gravityMean." -0.516184665263158
1 "WALKING" "angle.Y.gravityMean." 0.109545456884211
1 "WALKING" "angle.Z.gravityMean." -0.0901399494621053
1 "WALKING" "fBodyAcc.mean...X" -0.723190395526316
1 "WALKING" "fBodyAcc.mean...Y" -0.664585367452632
1 "WALKING" "fBodyAcc.mean...Z" -0.781665839147368
1 "WALKING" "fBodyAcc.meanFreq...X" -0.199498498312632
1 "WALKING" "fBodyAcc.meanFreq...Y" -0.00903962621052631
1 "WALKING" "fBodyAcc.meanFreq...Z" 0.0676277849147368
1 "WALKING" "fBodyAcc.std...X" -0.722729166052632
1 "WALKING" "fBodyAcc.std...Y" -0.678390850492632
1 "WALKING" "fBodyAcc.std...Z" -0.758498495774737
1 "WALKING" "fBodyAccJemeanrk.energy...Y" -0.876927950357895
1 "WALKING" "fBodyAccJerk.mean...X" -0.739348948170526
1 "WALKING" "fBodyAccJerk.mean...Y" -0.717550653789474
1 "WALKING" "fBodyAccJerk.mean...Z" -0.829511432105263
1 "WALKING" "fBodyAccJerk.meanFreq...X" -0.0234183137933684
1 "WALKING" "fBodyAccJerk.meanFreq...Y" -0.187136205162105
1 "WALKING" "fBodyAccJerk.meanFreq...Z" -0.0965318672357895
1 "WALKING" "fBodyAccJerk.std...X" -0.734164527347368
1 "WALKING" "fBodyAccJerk.std...Y" -0.707986900194737
1 "WALKING" "fBodyAccJerk.std...Z" -0.860719236842105
1 "WALKING" "fBodyAccMag.mean.." -0.700701201273684
1 "WALKING" "fBodyAccMag.meanFreq.." 0.0336162940157895
1 "WALKING" "fBodyAccMag.std.." -0.753063968284211
1 "WALKING" "fBodyBodyAccJerkMag.mean.." -0.714349970654737
1 "WALKING" "fBodyBodyAccJerkMag.meanFreq.." 0.153107348725263
1 "WALKING" "fBodyBodyAccJerkMag.std.." -0.7222735224
1 "WALKING" "fBodyBodyGyroJerkMag.mean.." -0.854670263789474
1 "WALKING" "fBodyBodyGyroJerkMag.meanFreq.." 0.0712739089378947
1 "WALKING" "fBodyBodyGyroJerkMag.std.." -0.865264071368421
1 "WALKING" "fBodyBodyGyroMag.mean.." -0.792031072631579
1 "WALKING" "fBodyBodyGyroMag.meanFreq.." -0.0938415088676842
1 "WALKING" "fBodyBodyGyroMag.std.." -0.785827338947368
1 "WALKING" "fBodyGyro.mean...X" -0.743721457587368
1 "WALKING" "fBodyGyro.mean...Y" -0.817890212736842
1 "WALKING" "fBodyGyro.mean...Z" -0.744647357589474
1 "WALKING" "fBodyGyro.meanFreq...X" -0.118766219662105
1 "WALKING" "fBodyGyro.meanFreq...Y" -0.169515478274737
1 "WALKING" "fBodyGyro.meanFreq...Z" -0.0946457933946211
1 "WALKING" "fBodyGyro.std...X" -0.790775490347368
1 "WALKING" "fBodyGyro.std...Y" -0.790064525021053
1 "WALKING" "fBodyGyro.std...Z" -0.778927629768421
1 "WALKING" "tBodyAcc.mean...X" 0.272466228063158
1 "WALKING" "tBodyAcc.mean...Y" -0.0176627196578947
1 "WALKING" "tBodyAcc.mean...Z" -0.107871083126316
1 "WALKING" "tBodyAcc.std...X" -0.722381514463158
1 "WALKING" "tBodyAcc.std...Y" -0.658445958031579
1 "WALKING" "tBodyAcc.std...Z" -0.753271082336842
1 "WALKING" "tBodyAccJerk.mean...X" 0.0859623158642105
1 "WALKING" "tBodyAccJerk.mean...Y" 0.00337663755547368
1 "WALKING" "tBodyAccJerk.mean...Z" -0.00509319334810526
1 "WALKING" "tBodyAccJerk.std...X" -0.724271289387368
1 "WALKING" "tBodyAccJerk.std...Y" -0.703039386358737
1 "WALKING" "tBodyAccJerk.std...Z" -0.845701067789474
1 "WALKING" "tBodyAccJerkMag.mean.." -0.743241072231579
1 "WALKING" "tBodyAccJerkMag.std.." -0.716875260007368
1 "WALKING" "tBodyAccMag.mean.." -0.690463541557895
1 "WALKING" "tBodyAccMag.std.." -0.704496097073684
1 "WALKING" "tBodyGyro.mean...X" -0.0486400418786316
1 "WALKING" "tBodyGyro.mean...Y" -0.0792302951252632
1 "WALKING" "tBodyGyro.mean...Z" 0.0924153795978947
1 "WALKING" "tBodyGyro.std...X" -0.778284189789474
1 "WALKING" "tBodyGyro.std...Y" -0.798024322621053
1 "WALKING" "tBodyGyro.std...Z" -0.752237198452632
1 "WALKING" "tBodyGyroJerk.mean...X" -0.0887879113263158
1 "WALKING" "tBodyGyroJerk.mean...Y" -0.0419031692705263
1 "WALKING" "tBodyGyroJerk.mean...Z" -0.0483855417136842
1 "WALKING" "tBodyGyroJerk.std...X" -0.803155373473684
1 "WALKING" "tBodyGyroJerk.std...Y" -0.875257476736842
1 "WALKING" "tBodyGyroJerk.std...Z" -0.816450403410526
1 "WALKING" "tBodyGyroJerkMag.mean.." -0.846521632736842
1 "WALKING" "tBodyGyroJerkMag.std.." -0.854587050526316
1 "WALKING" "tBodyGyroMag.mean.." -0.715794435989474
1 "WALKING" "tBodyGyroMag.std.." -0.763106672852632
1 "WALKING" "tGravityAcc.mean...X" 0.664729938421053
1 "WALKING" "tGravityAcc.mean...Y" -0.0511885803712768
1 "WALKING" "tGravityAcc.mean...Z" 0.131311231548421
1 "WALKING" "tGravityAcc.std...X" -0.967488253157895
1 "WALKING" "tGravityAcc.std...Y" -0.961661613789474
1 "WALKING" "tGravityAcc.std...Z" -0.956340603157895
1 "WALKING" "tGravityAccMag.mean.." -0.690463541557895
1 "WALKING" "tGravityAccMag.std.." -0.704496097073684
1 "WALKING_DOWNSTAIRS" "angle.tBodyAccJerkMean..gravityMean." -0.0234626703204082
1 "WALKING_DOWNSTAIRS" "angle.tBodyAccMean.gravity." -0.00656062059959184
1 "WALKING_DOWNSTAIRS" "angle.tBodyGyroJerkMean.gravityMean." -0.0240488154142857
1 "WALKING_DOWNSTAIRS" "angle.tBodyGyroMean.gravityMean." -0.119253438877551
1 "WALKING_DOWNSTAIRS" "angle.X.gravityMean." -0.469040153673469
1 "WALKING_DOWNSTAIRS" "angle.Y.gravityMean." -0.0775529436734694
1 "WALKING_DOWNSTAIRS" "angle.Z.gravityMean." -0.0188091485312245
1 "WALKING_DOWNSTAIRS" "fBodyAcc.mean...X" -0.683348150877551
1 "WALKING_DOWNSTAIRS" "fBodyAcc.mean...Y" -0.603772033510204
1 "WALKING_DOWNSTAIRS" "fBodyAcc.mean...Z" -0.776013662877551
1 "WALKING_DOWNSTAIRS" "fBodyAcc.meanFreq...X" -0.156076036493878
1 "WALKING_DOWNSTAIRS" "fBodyAcc.meanFreq...Y" 0.0714606216510204
1 "WALKING_DOWNSTAIRS" "fBodyAcc.meanFreq...Z" 0.0561781871122449
1 "WALKING_DOWNSTAIRS" "fBodyAcc.std...X" -0.664166097573469
1 "WALKING_DOWNSTAIRS" "fBodyAcc.std...Y" -0.595007147340816
1 "WALKING_DOWNSTAIRS" "fBodyAcc.std...Z" -0.754046641632653
1 "WALKING_DOWNSTAIRS" "fBodyAccJemeanrk.energy...Y" -0.808811875918367
1 "WALKING_DOWNSTAIRS" "fBodyAccJerk.mean...X" -0.70815392734898
1 "WALKING_DOWNSTAIRS" "fBodyAccJerk.mean...Y" -0.668936742479592
1 "WALKING_DOWNSTAIRS" "fBodyAccJerk.mean...Z" -0.827617661795918
1 "WALKING_DOWNSTAIRS" "fBodyAccJerk.meanFreq...X" 0.00299249245714285
1 "WALKING_DOWNSTAIRS" "fBodyAccJerk.meanFreq...Y" -0.198589271032653
1 "WALKING_DOWNSTAIRS" "fBodyAccJerk.meanFreq...Z" -0.102436346279592
1 "WALKING_DOWNSTAIRS" "fBodyAccJerk.std...X" -0.70961171284898
1 "WALKING_DOWNSTAIRS" "fBodyAccJerk.std...Y" -0.620712351265306
1 "WALKING_DOWNSTAIRS" "fBodyAccJerk.std...Z" -0.849996098163265
1 "WALKING_DOWNSTAIRS" "fBodyAccMag.mean.." -0.642017680653061
1 "WALKING_DOWNSTAIRS" "fBodyAccMag.meanFreq.." 0.0627885946530612
1 "WALKING_DOWNSTAIRS" "fBodyAccMag.std.." -0.693463326408163
1 "WALKING_DOWNSTAIRS" "fBodyBodyAccJerkMag.mean.." -0.673645462244898
1 "WALKING_DOWNSTAIRS" "fBodyBodyAccJerkMag.meanFreq.." 0.109461518632653
1 "WALKING_DOWNSTAIRS" "fBodyBodyAccJerkMag.std.." -0.6805059634
1 "WALKING_DOWNSTAIRS" "fBodyBodyGyroJerkMag.mean.." -0.817528133571429
1 "WALKING_DOWNSTAIRS" "fBodyBodyGyroJerkMag.meanFreq.." -0.00678819586530612
1 "WALKING_DOWNSTAIRS" "fBodyBodyGyroJerkMag.std.." -0.809469851428571
1 "WALKING_DOWNSTAIRS" "fBodyBodyGyroMag.mean.." -0.75454722922449
1 "WALKING_DOWNSTAIRS" "fBodyBodyGyroMag.meanFreq.." -0.0695540331020408
1 "WALKING_DOWNSTAIRS" "fBodyBodyGyroMag.std.." -0.749166079918367
1 "WALKING_DOWNSTAIRS" "fBodyGyro.mean...X" -0.718700430857143
1 "WALKING_DOWNSTAIRS" "fBodyGyro.mean...Y" -0.793846316936735
1 "WALKING_DOWNSTAIRS" "fBodyGyro.mean...Z" -0.691365044061224
1 "WALKING_DOWNSTAIRS" "fBodyGyro.meanFreq...X" -0.150533387306122
1 "WALKING_DOWNSTAIRS" "fBodyGyro.meanFreq...Y" -0.146445730791837
1 "WALKING_DOWNSTAIRS" "fBodyGyro.meanFreq...Z" 0.000810300587755105
1 "WALKING_DOWNSTAIRS" "fBodyGyro.std...X" -0.766224822693878
1 "WALKING_DOWNSTAIRS" "fBodyGyro.std...Y" -0.79753345244898
1 "WALKING_DOWNSTAIRS" "fBodyGyro.std...Z" -0.776632705510204
1 "WALKING_DOWNSTAIRS" "tBodyAcc.mean...X" 0.276286317346939
1 "WALKING_DOWNSTAIRS" "tBodyAcc.mean...Y" -0.0195755602979592
1 "WALKING_DOWNSTAIRS" "tBodyAcc.mean...Z" -0.113537914571429
1 "WALKING_DOWNSTAIRS" "tBodyAcc.std...X" -0.668599789408163
1 "WALKING_DOWNSTAIRS" "tBodyAcc.std...Y" -0.580122293612245
1 "WALKING_DOWNSTAIRS" "tBodyAcc.std...Z" -0.748262983
1 "WALKING_DOWNSTAIRS" "tBodyAccJerk.mean...X" 0.0528035273469388
